City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,xichang,27.8964,102.2634,17.58,94,44,0.51,CN,1689882500
82,roma,43.2128,-75.4557,29.97,38,0,3.6,US,1689882388
83,togur,58.3631,82.8265,17.38,96,100,2.89,RU,1689882500
84,olonkinbyen,70.9221,-8.7187,5.71,82,100,1.36,SJ,1689882403
85,puerto natales,-51.7236,-72.4875,1.06,98,100,3.89,CL,1689882259
86,hotan,37.0997,79.9269,28.88,15,20,1.81,CN,1689882501
87,laguna,38.421,-121.4238,36.76,32,0,2.57,US,1689882501
88,barcelos,41.5388,-8.6151,19.36,88,1,2.66,PT,1689882447
89,errachidia,31.9275,-4.4285,38.03,5,20,2.57,MA,1689882502
90,ta`u,-14.2336,-169.5144,26.43,77,86,9.48,AS,1689882359
91,puerto ayora,-0.7393,-90.3518,30.98,90,58,4.47,EC,1689882392
92,pacific grove,36.6177,-121.9166,24.56,88,40,4.02,US,1689882235
93,puerto madero,14.7208,-92.4215,33.11,75,40,5.14,MX,1689882503
94,gotsucho,35.0,132.2167,21.57,86,2,1.54,JP,1689882503
95,thunder bay,48.4001,-89.3168,24.99,46,40,3.6,CA,1689882122
96,shahrak,34.1074,64.3052,15.3,52,0,1.94,AF,1689882448
97,yellowknife,62.456,-114.3525,27.29,39,100,2.57,CA,1689882290
98,socorro,31.6546,-106.3033,41.56,11,40,7.72,US,1689882504
99,huarmey,-10.0681,-78.1522,23.05,67,13,5.0,PE,1689882426
100,chibougamau,49.9168,-74.3659,19.79,60,75,1.86,CA,1689882462
101,port lincoln,-34.7333,135.8667,10.28,71,15,3.21,AU,1689882431
102,nagqu,31.5,92.0,1.66,70,0,1.6,CN,1689882406
103,agios nikolaos,35.1914,25.7133,29.31,50,0,1.99,GR,1689882505
104,punta arenas,-53.15,-70.9167,1.31,67,100,7.72,CL,1689882269
105,keflavik,64.0049,-22.5624,12.24,87,100,2.57,IS,1689882420
106,pukekohe east,-37.2,174.95,11.8,96,100,6.21,NZ,1689882506
107,port moresby,-9.4431,147.1797,22.68,88,40,1.54,PG,1689882274
108,isabela,6.7085,121.9711,25.5,87,100,1.28,PH,1689882506
109,hamilton,39.1834,-84.5333,32.58,67,75,5.14,US,1689882141
110,blackmans bay,-43.0167,147.3167,4.74,85,29,2.84,AU,1689882377
111,wailua homesteads,22.0669,-159.378,27.44,76,100,8.23,US,1689882374
112,liptovsky hradok,49.0396,19.7234,16.35,89,39,0.51,SK,1689882507
113,geraldton,-28.7667,114.6,6.23,93,0,4.63,AU,1689882449
114,thompson,55.7435,-97.8558,26.09,44,75,5.66,CA,1689882269
115,canutama,-6.5339,-64.3831,36.18,24,47,1.8,BR,1689882254
116,bludenz,47.1497,9.8167,19.96,77,100,0.92,AT,1689882508
117,kavaratti,10.5669,72.642,28.12,80,100,8.93,IN,1689882461
118,le port,-20.9373,55.2919,22.16,91,2,1.8,RE,1689882258
119,east london,-33.0153,27.9116,14.44,49,100,6.04,ZA,1689882426
120,koryazhma,61.3143,47.1691,15.62,96,68,3.76,RU,1689882509
121,hawaiian paradise park,19.5933,-154.9731,25.02,92,100,2.57,US,1689882273
122,iquitos,-3.7481,-73.2472,28.02,83,75,3.09,PE,1689882509
123,savelugu,9.6244,-0.8253,28.32,62,23,2.46,GH,1689882509
124,matoury,4.8483,-52.3317,29.98,70,75,4.12,GF,1689882510
125,luanda,-8.8368,13.2343,22.0,83,9,2.57,AO,1689882264
126,port alfred,-33.5906,26.891,13.39,53,54,7.11,ZA,1689882358
127,smithers,54.7804,-127.1743,25.18,44,40,0.0,CA,1689882168
128,kapenguria,1.2511,35.0895,12.99,86,23,3.66,KE,1689882511
129,port mathurin,-19.6833,63.4167,23.24,69,8,8.46,MU,1689882435
130,kununurra,-15.7667,128.7333,14.99,72,80,0.0,AU,1689882511
131,richards bay,-28.783,32.0377,14.54,78,100,4.27,ZA,1689882338
132,vilyuchinsk,52.9306,158.4028,12.15,96,100,0.72,RU,1689882322
133,bilibino,68.0546,166.4372,15.48,62,98,1.04,RU,1689882239
134,colonia,50.9333,6.95,21.08,54,0,1.54,DE,1689882393
135,albany,42.6001,-73.9662,30.81,39,30,1.73,US,1689882142
136,wamba,8.9333,8.6,24.07,87,66,0.69,NG,1689882513
137,akureyri,65.6835,-18.0878,9.96,81,20,7.2,IS,1689882464
138,turpan,42.9333,89.1667,36.15,20,91,1.72,CN,1689882341
139,khilok,51.3674,110.4676,9.93,63,10,1.05,RU,1689882460
